title,authors,eprint_number,arXiv_category,doi,citation_count,abstract
Gravitational Waves from Particle Decays during Reheating,"Shinya Kanemura, Kunio Kaneta",2310.12023,hep-ph,,1,"Gravitational waves have become an irreplaceable tool for exploring the post-inflationary universe. Their cosmological and astrophysical origins have been attracting numerous attention. In this Letter, we point out a novel source of ultra-high frequency gravitational waves: the decay of particles produced during the reheating era. We highlight the decay of the Higgs boson as a representative case, showing how it yields a testable gravitational wave spectrum by future observations."
A Mössbauer Scheme to Probe Gravitational Waves,"Yu Gao, Huaqiao Zhang, Wei Xu",2310.06607,gr-qc,,1,"Under the local gravitational field, perturbations from high-frequency gravitational waves can cause a vertical shift of the M\""ossbauer resonance height. Considering a stationary scheme with the $^{109}$Ag isotope, we demonstrate that the extremely high precision of M\""ossbauer resonance allows for competitive gravitational wave sensitivity from KHz up to above MHz frequencies. M\""ossbauer resonance can offer a novel and small-sized alternative in the quest of multi-band gravitational wave searches. The presence of the static gravitational field plays essential role in the detection mechanism, isotope selection and sensitivity forecast. The proposed stationary scheme's sensitivity has the potential of significant improvement in a low-gravity environment."
On graviton-photon conversions in magnetic environments,"Jai-chan Hwang, Hyerim Noh",2310.04150,gr-qc,,0,"Graviton-photon conversions in a given external electric or magnetic field, known as the Gertsenshtein mechanism, are usually treated using the four-potential for photons. In terms of the electric and magnetic (EM) fields, however, proper identification of the fields in curved spacetime is important. By misidentifying the fields in Minkowski form, as is often practiced in the literature, we show that the final equation for photon conversion is correct in transverse-tracefree gauge only for planar gravitational waves in a uniform and constant external field. Even in the former method, to recover the EM fields from the four-potential in curved spacetime, one should properly take into account the metric involved in the relation. By including the metric perturbation in the graviton conversion equation, we show that a magnetic environment can cause exponential instability term in gravitational wave equation."
Elastic Scattering of Cosmological Gravitational Wave Backgrounds: Primordial Black Holes and Stellar Objects,"Marcell Howard, Morgane König",2309.15925,gr-qc,,0,"Primordial black holes (PBHs) are plausible dark matter candidates that formed from the gravitational collapse of primordial density fluctuations. Current observational constraints allow asteroid-mass PBHs to account for all of the cosmological dark matter. We show that elastic scattering of a cosmological gravitational wave background, these black holes generate spectral distortions on the background of 0.3% for cosmologically relevant frequencies. Scattering from stellar objects induce much smaller distortions. Detectability of this signal depends on our ultimate understanding of the unperturbed background spectrum."
Particle accelerators to meet gravitational waves,"Ralph Assmann, Peter McIntosh, Alessandro Fabris, Giovanni Bisoffi, Ivan Andrian",,,10.18429/JACoW-IPAC2023-MOPA080,0,
Gravitational wave search through electromagnetic telescopes,"Asuka Ito, Kazunori Kohri, Kazunori Nakayama",2309.14765,gr-qc,,2,"We study the graviton-photon conversion in the magnetic fields of the Earth, our galaxy, and intergalactic regions. Requiring that the photon flux converted from gravitons does not exceed the observed photon flux with telescopes, we derive upper limits on the stochastic gravitational waves in frequency ranges from $10^{7}$Hz to $10^{35}$Hz. Remarkably, the upper limits on $h^2 \Omega_{{\rm GW}}$ could be less than unity in the frequency range of $10^{18}$-$10^{23}$ Hz in a specific case. The detection of gravitational waves using telescopes would open up a new avenue for high frequency gravitational wave observations and offer exciting opportunities to probe new physics."
High Frequency Gravitational Waves from Pulsar Timing Arrays,"Junsong Cang, Yu Gao, Yiming Liu, Sichun Sun",2309.15069,astro-ph.CO,,5,"Several pulsar timing array (PTA) experiments such as NANOGrav and PPTA reported evidence of a gravitational wave background at the nano-Hz frequency band recently. This signal can originate from scalar-induced gravitational waves (SIGW) generated by the enhanced curvature perturbation. Here we perform a joint likelihood inference on PTA datasets, and our results show that if the PTA signals were indeed of SIGW origin, the curvature perturbations amplitude required will produce primordial black holes (PBHs) in $[2 \times 10^{-5}, 2 \times 10^{-2}]\ m_\odot$ mass range. Mergers of these PBHs can leave a strong gravitational wave signature in the $[10^{-3}, 10^8]$ Hz frequency range, to be detectable at upcoming interferometers such as the Einstein Telescope, DECIGO and BBO, etc. This offers a multi-frequency opportunity to further scrutinize the source of the observed PTA signal."
Simultaneous Resonant and Broadband Detection for Dark Sectors,"Yifan Chen, Chunlong Li, Yuxin Liu, Jing Shu, Yuting Yang",2309.12387,hep-ph,,0,"Electromagnetic resonant systems, such as cavities or LC circuits, have emerged as powerful detectors for probing ultralight boson dark matter and high-frequency gravitational waves. However, the limited resonant bandwidth of conventional single-mode resonators, imposed by quantum fluctuations, necessitates numerous scan steps to cover broad unexplored frequency regions. The incorporation of multiple auxiliary modes can realize a broadband detector while maintaining a substantial signal response. The broadened sensitive width can be on the same order as the resonant frequency, encompassing several orders of the source frequency for heterodyne detection, where a background cavity mode transitions into another. Consequently, our approach enables significantly deeper exploration of the parameter space within the same integration time compared to single-mode detection."
Gravitational waves from axion wave production,"Mingqiu Li, Sichun Sun, Qi-Shu Yan, Zhijie Zhao",2309.08407,hep-ph,,2,"We consider a scenario with axions/axion-like particles Chern-Simons gravity coupling, such that gravitational waves can be produced directly from axion wave tachyonic instability in the early universe after inflation. This axion gravity term is less constrained compared to the well-searched axion photon coupling and can provide a direct and efficient production channel for gravitational waves. Such stochastic gravitational waves can be detected by either space/ground-based gravitational wave detectors or pulsar timing arrays for a broad range of axion masses and decay constants."
Fast Likelihood-free Reconstruction of Gravitational Wave Backgrounds,"Androniki Dimitriou, Daniel G. Figueroa, Bryan Zaldivar",2309.08430,astro-ph.IM,,0,"We apply state-of-the-art, likelihood-free statistical inference (machine-learning-based) techniques for reconstructing the spectral shape of a gravitational wave background (GWB). We focus on the reconstruction of an arbitrarily shaped signal by the LISA detector, but the method can be easily extended to either template-dependent signals, or to other detectors, as long as a characterisation of the instrumental noise is available. As proof of the technique, we quantify the ability of LISA to reconstruct signals of arbitrary spectral shape (blind reconstruction), considering a diversity of frequency profiles, and including astrophysical backgrounds in some cases. As a teaser of how the method can reconstruct signals characterised by a parameter-dependent template (template reconstruction), we present a dedicated study for power-law signals. While our technique has several advantages with respect to traditional MCMC methods, we validate it with the latter for concrete cases. This work opens the door for both fast and accurate Bayesian parameter estimation of GWBs, with essentially no computational overhead during the inference step. Our set of tools will be integrated into the package GWBackFinder, which will be made publicly available in due time."
Gravitational Wave Science in the Mid-Band with Atom Interferometers,"Sebastian Baum, Zachary Bogorad, Peter W. Graham",2309.07952,gr-qc,,0,"Gravitational Waves (GWs) have been detected in the $\sim 100$ Hz and nHz bands, but most of the gravitational spectrum remains unobserved. A variety of detector concepts have been proposed to expand the range of observable frequencies. In this work, we study the capability of GW detectors in the ""mid-band"", the $\sim 30$ mHz -- 10 Hz range between LISA and LIGO, to measure the signals from and constrain the properties of $\sim 1-100 M_\odot$ compact binaries. We focus on atom-interferometer-based detectors. We describe a Fisher matrix code we use to evaluate their capabilities, and present numerical results for two benchmarks: terrestrial km-scale detectors, and satellite-borne detectors in medium Earth orbit. One unique capability of mid-band GW detectors is pinpointing the location of GW sources on the sky. We demonstrate that a satellite-borne detector could achieve sub-degree sky localization for any detectable source with chirp mass $\mathcal{M}_c \lesssim 50 M_\odot$. We also compare different detector configurations, including different locations of terrestrial detectors and various choices of the orbit of a satellite-borne detector. As we show, a network of only two terrestrial single-baseline detectors or one single-baseline satellite-borne detector would each provide close-to-uniform sky-coverage, with signal-to-noise ratios varying by less than a factor of two across the entire sky. We hope that this work contributes to the efforts of the GW community to assess the merits of different detector proposals."
Gravitational waves from high-power twisted light,"Eduard Atonga, Killian Martineau, Ramy Aboushelbaya, Aurélien Barrau, Marko von der Leyen",2309.04191,gr-qc,,0,"Recent advances in high-energy and high-peak-power laser systems have opened up new possibilities for fundamental physics research. In this work, the potential of twisted light for the generation of gravitational waves in the high frequency regime is explored for the first time. Focusing on Bessel beams, novel analytic expressions and numerical computations for the generated metric perturbations and associated powers are presented. Compelling evidence is provided that the properties of the generated gravitational waves, such as frequency, polarisation states and direction of emission, are controllable by the laser pulse parameters and optical arrangements."
Macroscopic Quantum Response to Gravitational Waves,"Asuka Ito, Ryuichiro Kitano",2309.02992,gr-qc,,1,"We study the excitation of a one-electron quantum cyclotron by gravitational waves. The electron in such as a penning trap is prepared to be at the lowest Landau level, which has an infinite degeneracy parameterized by the size of the wave function. We find that the excitation rate from the ground state to the first excited state is enhanced by the size of the electron wave function: an electron with a larger wave function feels gravitational waves more. As a consequence, we derive a good sensitivity to gravitational waves at a macroscopic one-electron quantum cyclotron."
On the anisotropies of the cosmological gravitational-wave background from pulsar timing array observations,"Ran Ding, Chi Tian",2309.01643,astro-ph.CO,,3,"Significant evidence for a stochastic gravitational-wave background has recently been reported by several Pulsar Timing Array observations. These studies have shown that, in addition to astrophysical explanations based on supermassive black hole binaries (SMBHBs), cosmological origins are considered equally important sources for these signals. To further explore these cosmological sources, in this study, we discuss the anisotropies in the cosmological gravitational wave background (CGWB) in a model-independent way. Taking the North American Nanohertz Observatory for Gravitational Waves (NANOGrav) 15-year dataset as a benchmark, we estimate the angular power spectra of the CGWB and their cross-correlations with cosmic microwave background (CMB) fluctuations and weak gravitational lensing. We find that the NANOGrav 15-year data implies suppressed Sachs-Wolf (SW) effects in the CGBW spectrum, leading to a marginally negative cross-correlation with the CMB at large scales. This procedure is applicable to signals introduced by different early universe processes and is potentially useful for identifying unique features about anisotropies of CGWB from future space-based interferometers and astrometric measurements."
The future search for low-frequency axions and new physics with the FLASH resonant cavity experiment at Frascati National Laboratories,"David Alesini, Danilo Babusci, Paolo Beltrame, Fabio Bossi, Paolo Ciambrone",2309.00351,physics.ins-det,10.1016/j.dark.2023.101370,3,"We present a proposal for a new experiment, the FINUDA magnet for Light Axion SearcH (FLASH), a large resonant-cavity haloscope in a high static magnetic field which is planned to probe new physics in the form of dark matter (DM) axions, scalar fields, chameleons, hidden photons, as well as high frequency gravitational waves (GWs). Concerning the QCD axion, FLASH will search for these particles as the DM in the mass range (0.49-1.49) ueV, thus filling the mass gap between the ranges covered by other planned searches. A dedicated Microstrip SQUID operating at ultra-cryogenic temperatures will amplify the signal. The frequency range accessible overlaps with the Very High Frequency (VHF) range of the radio wave spectrum and allows for a search in GWs in the frequency range (100-300) MHz. The experiment will make use of the cryogenic plant and magnet of the FINUDA experiment at INFN Frascati National Laboratories near Rome (Italy); the operations needed to restore the functionalities of the apparatus are currently underway. We present the setup of the experiment and the sensitivity forecasts for the detection of axions, scalar fields, chameleons, hidden photons, and GWs."
Graviton detection and the quantization of gravity,"Daniel Carney, Valerie Domcke, Nicholas L. Rodd",2308.12988,hep-th,,3,"We revisit a question asked by Dyson: ""Is a graviton detectable?"" We demonstrate that in both Dyson's original sense and in a more modern measurement-theoretic sense, it is possible to construct a detector sensitive to single gravitons, and in fact a variety of existing and near-term gravitational wave detectors can achieve this. However, while such a signal would be consistent with the quantization of the gravitational field, we draw on results from quantum optics to show how the same signal could just as well be explained via classical gravitational waves. We outline the kind of measurements that would be needed to demonstrate quantization of gravitational radiation and explain why these are substantially more difficult than simply counting graviton clicks or observing gravitational noise in an interferometer, and likely impossible to perform in practice."
The Global Network of Cavities to Search for Gravitational Waves (GravNet): A novel scheme to hunt gravitational waves signatures from the early universe,"Kristof Schmieden, Matthias Schott",2308.11497,gr-qc,,1,"The idea of searching for gravitational waves using cavities in strong magnetic fields has recently received significant attention. Specifically, discussions focus on cavities with relatively small volumes, which are currently employed in the search for axions. In this context, we propose a novel experimental scheme that enables the detection of gravitational waves in the GHz regime, which could originate, for example, from primordial black hole mergers. The scheme is based on synchronous measurements of cavity signals from multiple devices operating in magnetic fields at distant locations. While gravitational wave signatures might be detectable in individual cavities, distinguishing them from noise is highly challenging. By analyzing the correlation among signals from several, possibly geographically separated cavities, it is not only possible to significantly enhance the signal-to-noise ratio but also to investigate the source of those gravitational wave signatures. In the context of this proposal, a first demonstration experiment with one superconducting cavity is currently conducted, which is the basis of the proposed data-analysis approaches. On this basis the prospects of GravNet (Global Network of Cavities to Search for Gravitational Waves) are outlined in the paper."
Fast radio burstssignalhigh-frequency gravitational waves,"Ashu Kushwaha, Sunil Malik, S. Shankaranarayanan",2311.11150,gr-qc,10.1142/S0218271823420105,0,"There is growing evidence for high-frequency gravitational waves (HFGWs) ranging from MHz to GHz. Several HFGW detectors have been operating for over a decade, and two GHz events have been reported recently. However, a confirmed detection might take a decade. This essay argues that unexplained observed astrophysical phenomena, like Fast Radio Bursts (FRBs), might provide indirect evidence for HFGWs. In particular, using the Gertsenshtein-Zel$'$dovich effect, we show that our model can explain three key features of FRBs: generate peak-flux up to $1000~{\rm Jy}$, naturally explain the pulse width and the coherent nature of FRBs. In short, our model offers a novel perspective on the indirection detection of HFGWs beyond current detection capabilities. Thus, transient events like FRBs are a rich source for multi-messenger astronomy."
Relic Gravitational Waves from the Chiral Plasma Instability in the Standard Cosmological Model,"Axel Brandenburg, Emma Clarke, Tina Kahniashvili, Andrew J. Long, Guotong Sun",2307.09385,astro-ph.CO,,0,"In the primordial plasma, at temperatures above the scale of electroweak symmetry breaking, the presence of chiral asymmetries is expected to induce the development of helical hypermagnetic fields through the phenomenon of chiral plasma instability. It results in magnetohydrodynamic turbulence due to the high conductivity and low viscosity and sources gravitational waves that survive in the universe today as a stochastic polarized gravitational wave background. In this article, we show that this scenario only relies on Standard Model physics, and therefore the observable signatures, namely the relic magnetic field and gravitational background, are linked to a single parameter controlling the initial chiral asymmetry. We estimate the magnetic field and gravitational wave spectra, and validate these estimates with 3D numerical simulations."
The multi-mode acoustic gravitational wave experiment: MAGE,"William M. Campbell, Maxim Goryachev, Michael E. Tobar",2307.00715,gr-qc,10.1038/s41598-023-35670-y,0,"The Multi-mode Acoustic Gravitational wave Experiment (MAGE) is a high frequency gravitational wave detection experiment. In its first stage, the experiment features two near-identical quartz bulk acoustic wave resonators that act as strain antennas with spectral sensitivity as low as $6.6\times 10^{-21} \left[\textrm{strain}\right]/\sqrt{\textrm{Hz}}$ in multiple narrow bands across MHz frequencies. MAGE is the successor to the initial path-finding experiments; GEN 1 and GEN 2. These precursor runs demonstrated the successful use of the technology, employing a single quartz gravitational wave detector that found significantly strong and rare transient features. As the next step to this initial experiment, MAGE will employ further systematic rejection strategies by adding an additional quartz detector such that localised strains incident on just a single detector can be identified. The primary goals of MAGE will be to target signatures arising from objects and/or particles beyond that of the standard model, as well as identifying the source of the rare events seen in the predecessor experiment. The experimental set-up, current status and future directions for MAGE are discussed. Calibration procedures of the detector and signal amplification chain are presented. The sensitivity of MAGE to gravitational waves is estimated from knowledge of the quartz resonators. Finally, MAGE is assembled and tested in order to determine the thermal state of its new components."
Fundamental physics with laser interferometry,Sander Vermeulen,,,,0,
Quantum decay of scalar and vector boson stars and oscillons into gravitons,"Kazunori Nakayama, Fuminobu Takahashi, Masaki Yamada",2306.12961,hep-ph,10.1088/1475-7516/2023/08/058,1,"We point out that a soliton such as an oscillon or boson star inevitably decays into gravitons through gravitational interactions. These decay processes exist even if there are no apparent self-interactions of the constituent field, scalar or vector, since they are induced by gravitational interactions. Hence, our results provide a strict upper limit on the lifetime of oscillons and boson stars including the dilute axion star. We also calculate the spectrum of the graviton background from decay of solitons."
Macroscopic Dark Matter Detection with Gravitational Wave Experiments,"Yufeng Du, Vincent S.H. Lee, Yikun Wang, Kathryn M. Zurek",2306.13122,astro-ph.CO,,1,"We study signatures of macroscopic dark matter (DM) in current and future gravitational wave (GW) experiments. Transiting DM with a mass of $\sim10^5-10^{15}$ kg that saturates the local DM density can be potentially detectable by GW detectors, depending on the baseline of the detector and the strength of the force mediating the interaction. In the context of laser interferometers, we derive the gauge invariant observable due to a transiting DM, including the Shapiro effect, and adequately account for the finite photon travel time within an interferometer arm. In particular, we find that the Shapiro effect can be dominant for short-baseline interferometers such as Holometer and GQuEST. We also find that proposed experiments such as Cosmic Explorer and Einstein Telescope can constrain a fifth force between DM and baryons, at the level of strength $\sim 10^3$ times stronger than gravity for, e.g., kg mass DM with a fifth-force range of $10^6$ m."
Competitive effects between gravitational radiation and mass variation for two-body systems in circular orbits,"Baptiste Blachier, Aurélien Barrau, Killian Martineau, Cyril Renevey",2306.09069,gr-qc,,3,"This work provides, at lower order, general analytical solutions for the orbital separation, merging time, and orbital frequency of binary systems emitting gravitational waves while being submitted to mass variations. Specific features, depending on the exponent of the mass derivative, are investigated in details. Two phenomenologically interesting cases are explicitly considered : i) binaries formed by two light primordial black holes submitted to Hawking evaporation and ii) bodies driven by a Bondi accretion of phantom dark energy. It is shown that three different regimes arise, including an intricate non-monotonic behaviour of the system. We study subtle imprints that could be associated with those phenomena. A careful analysis of the conditions of validity of the different hypotheses performed is finally carried out."
Prospects for Direct Detection of Black Hole Formation in Neutron Star Mergers with Next-Generation Gravitational-Wave Detectors,"Arnab Dhani, David Radice, Jan Schütte-Engel, Susan Gardner, Bangalore Sathyaprakash",2306.06177,gr-qc,,3,"A direct detection of black hole formation in neutron star mergers would provide invaluable information about matter in neutron star cores and finite temperature effects on the nuclear equation of state. We study black hole formation in neutron star mergers using a set of 196 numerical relativity simulations consisting of long-lived and black hole-forming remnants. The postmerger gravitational-wave spectrum of a long-lived remnant has greatly reduced power at a frequency $f$ greater than $f_{\rm peak}$, for $f \gtrsim 4\,\rm kHz$, with $f_{\rm peak} \in [2.5, 4]\,\rm kHz$. On the other hand, black-hole-forming remnants exhibit excess power in the same large $f$ region and manifest exponential damping in the time domain characteristic of a quasi-normal mode. We demonstrate that the gravitational-wave signal from a collapsed remnant is indeed a quasi-normal ringing. We report on the opportunity for direct detections of black hole formation with next-generation gravitational-wave detectors such as Cosmic Explorer and Einstein Telescope and set forth the tantalizing prospect of such observations up to a distance of 100 Mpc."
Electromagnetic high-frequency gravitational wave detection,Valerie Domcke,2306.04496,gr-qc,,6,"Ultra-high frequency gravitational waves in the MHz to THz regime promise a unique possibility to probe the very early universe, particle physics at very high energies and exotic astrophysical objects - but achieving the sensitivity required for detection is an immense challenge. This is a brief summary of recent progress in electromagnetic high-frequency gravitational wave searches, which are based on classical electromagnetism in a space-time perturbed by gravitational waves. A particular focus is given to synergies with axion searches and atomic precision measurements. This article was prepared as proceedings for Moriond EW 2023."
Symmetries and Selection Rules: Optimising Axion Haloscopes for Gravitational Wave Searches,"Valerie Domcke, Camilo Garcia-Cely, Sung Mook Lee, Nicholas L. Rodd",2306.03125,hep-ph,,7,"In the presence of electromagnetic fields, both axions and gravitational waves (GWs) induce oscillating magnetic fields: a potentially detectable fingerprint of their presence. We demonstrate that the response is largely dictated by the symmetries of the instruments used to search for it. Focussing on low mass axion haloscopes, we derive selection rules that determine the parametric sensitivity of different detector geometries to axions and GWs, and which further reveal how to optimise the experimental geometry to maximise both signals. The formalism allows us to forecast the optimal sensitivity to GWs in the range of 100 kHz to 100 MHz for instruments such as ABRACADABRA, BASE, ADMX SLIC, SHAFT, WISPLC, and DMRadio."
The Gravity of Warped Throats: de Sitter vacua and Gravitational Waves from Type IIB string theory.,Bruno Valeixo Bento,,,10.17638/03171755,0,
Bremsstrahlung-induced gravitational waves in monomial potentials during reheating,"Basabendu Barman, Nicolás Bernal, Yong Xu, Óscar Zapata",2305.16388,hep-ph,10.1103/PhysRevD.108.083524,1,"We discuss the production of primordial gravitational waves (GW) from radiative inflaton decay during the period of reheating, assuming perturbative decay of the inflaton either into a pair of bosons or fermions, leading to successful reheating satisfying constraint from Big Bang nucleosynthesis. Assuming that the inflaton $\phi$ oscillates in a general monomial potential $V(\phi)\propto \phi^n$, which results in a time-dependent inflaton decay width, we show that the resulting stochastic GW background can have optimistic detection prospects, especially in detectors that search for a high-frequency GW spectrum, depending on the choice of $n$ that determines the shape of the potential during reheating. We also discuss how this GW energy density may affect the measurement of $\Delta N_{\text{eff}}$ for bosonic and fermionic reheating scenarios."
Probing high frequency gravitational waves with pulsars,"Asuka Ito, Kazunori Kohri, Kazunori Nakayama",2305.13984,gr-qc,,8,"We study graviton-photon conversion in magnetosphere of a pulsar and explore the possibility of detecting high frequency gravitational waves with pulsar observations. It is shown that conversion of one polarization mode of photons can be enhanced significantly due to strong magnetic fields around a pulsar. We also constrain stochastic gravitational waves in frequency range of $10^{8}-10^{9}\,$Hz and $10^{13}-10^{27}\,$Hz by using data of observations of the Crab pulsar and the Geminga pulsar. Our method widely fills the gap among existing high frequency gravitational wave experiments and boosts the frequency frontier in gravitational wave observations."
